year,assets,cash and balance with reserve bank of india,balances with banks and money at call,investments,govt securities,equity shares - corporate,debentures & bonds,units - mf/ insurance/cp/ptc,investments outside india,advances,term loans,cash credit,bills discounted,fixed assets,other assets,liabilities,shareholders funds,share capital,total reserves,deposits,term deposits / fixed deposits,savings deposit,demand deposits,borrowings,borrowings in the form of bonds / debentures,borrowings from other banks,borrowings from other financial institutions,borrowings from reserve bank of india,borrowings from out of india,other liabilities & provisions,total income,interest earned,interest/discount on advances/bills,other income,interest expended,operating_expenses,employee cost,selling and distribution expenses,general and administration expenses,depreciation and amortization,ppop,provisions and contingencies,current income tax,deferred tax,other taxes,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,free cash flow (est),operational ratios,gross npa (%),casa ratio (%),casa amount (crs),deposits (crs),casa vs total liabilities (%),liabilities (crs),sales per branch (crs),total income (crs),number of branches,profitability ratios,net interest margin (%),return on assets (%),net profit (crs),total assets (crs),credit deposit ratio (%),credit (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,eps,valuation ratios,p/e,price to book value,book value,dividend yield (%)
2015,461932.3942,19818.8397,16280.1921,117550.2121,81246.0111,739.0249,25068.212,8114.7747,1512.7529,281083.0297,195460.5869,80418.6766,5203.7662,2413.0494,24685.8101,461932.3942,44676.515,474.1044,44202.4106,322441.9369,178041.6351,88292.0829,56108.2189,79758.2689,11722.3,1631.5,14277.3912,,52127.0777,15055.6734,43843.6435,35478.5977,25867.8187,8365.0458,21254.4595,9203.7456,3114.9697,,,405.6721,13385.4384,6027.6161,3852.37,-153.36,0.93,7357.8223,237.052,14.820160573218,-16707.668,11056.8345,2811.2115,13868.046,-26496.9793,-4078.7347,-4204.0009,-513.9444,-523.9405,9.9961,-109.75,,,,,28845.9972,,0.0,,,,-1102.4839,7934.3283,28238.6946,,36099.0318,-17221.6124,0.0,1.43,44.783350201988,144400.3018,322441.9369,31.2600509540104,461932.3942,16.3473689410887,43843.6435,2682.0,0.0,3.27193057975901,1.74113111017523,7357.8223,461932.3942,87.173223310333,281083.0297,17.7517212127389,16.7819590541101,0.0949135502305069,10.339490316109,31.0388,0.0,18.0548217070248,2.97346498221717,44676.515,0.820842255531763
2016,539821.0196,22361.1495,10964.2909,131524.0609,94560.8591,1243.9171,22911.9358,9368.8157,2482.5967,338773.7229,237504.9394,96558.0679,4710.7156,3316.1995,32674.6235,539821.0196,53164.9073,476.5664,52688.3409,357967.5603,188522.5179,105793.126,63651.9164,108580.3789,12852.3,1243.6,23812.5111,9354.0,61317.9678,20108.1731,50359.5008,40988.0364,30040.5581,9371.4644,24155.0675,10100.8186,3376.0064,,,443.9115,16103.6147,7879.9519,4241.96,-71.87,-0.05,8223.6628,238.2831826,14.4876724395212,-19183.3798,12393.7495,4220.4332,16614.1827,-31444.4824,-4353.0801,-5435.5069,-1444.5159,-1463.7087,19.1928,-105.5245,,,,,21883.1016,,0.0,,,,-1308.3526,-2735.7851,36099.0318,,33325.4404,-20627.8957,0.0,1.75,47.3353066568362,169445.0424,357967.5603,31.3891153266978,539821.0196,16.4735036964344,50359.5008,3057.0,0.0,3.34237344330953,1.64185371104547,8223.6628,539821.0196,94.6381070441371,338773.7229,16.8101865379363,16.329913262365,0.0932892550892437,10.1537094112454,34.5121,0.0,12.8809895659783,1.992457091334,53164.9073,1.12473287594196
2017,601467.6703,30857.939,19398.2441,128793.3704,90598.0625,1322.753,26484.8859,6419.6202,2895.3623,373069.3495,262092.3885,104227.3019,6749.6591,3465.9343,45601.8748,601467.6703,55762.5418,479.0072,55283.5346,414378.7878,201328.7529,126048.2884,87001.7465,105030.8694,19705.0,2191.5,29185.7527,,53948.6167,26295.4713,56233.4686,44542.1579,33124.9593,11691.3107,26449.042,12199.9053,3891.864,,,508.7979,17584.5213,13905.2421,4988.9,-3200.62,0.0,3679.2792,239.5036109,32.547633461571,34192.2837,5467.5647,12764.59,18232.1547,21043.2499,-5083.1209,-12630.3869,-736.2341,-742.6953,6.4612,-108.3842,,,,,-4628.8703,,0.0,,,,-1407.4287,16933.0265,33325.4404,,50256.1831,33456.0496,0.0,5.04,51.4143197413929,213050.0349,414378.7878,35.4216935373658,601467.6703,16.3421879104911,56233.4686,3441.0,0.0,3.27703250181963,0.644758724512092,3679.2792,601467.6703,90.030995910935,373069.3495,6.75546747931693,6.54286369238834,0.0934937509973759,10.7862312384763,15.3621,0.0,31.9487570058781,2.10801665572569,55762.5418,1.01874490627547
2018,691329.5799,35481.0577,7973.8329,153876.0827,101354.5679,1525.5309,30653.7689,15254.813,3294.2599,439650.3045,288703.0232,138134.1566,12813.1247,3625.5884,50376.6229,691329.5799,63445.2596,513.3078,62931.9518,453622.7223,209771.1246,148202.0475,95649.5502,148016.1446,28205.0,1116.7,40674.8202,6100.0,71919.6244,26245.4534,56747.3988,45780.3123,34137.4719,10967.0865,27162.5818,13990.3398,4312.9556,,,568.0974,15594.4772,15318.7959,1671.19,-1825.3,0.0,275.6813,256.6538936,0.0,-46949.3599,121.5715,16083.2892,16204.8607,-60148.2963,-3005.9243,-10244.2443,-810.9773,-822.4338,11.4565,-325.0,,,256.0608,,50400.7791,,0.0,,,,-1405.2756,-6792.8251,50256.1831,,43454.8906,-47760.3372,0.0,6.77,53.7564777318916,243851.5977,453622.7223,35.2728430534208,691329.5799,15.2219417381974,56747.3988,3728.0,0.0,2.92280654845959,0.0426488066798334,275.6813,691329.5799,96.9198152753117,439650.3045,0.4625222456288,0.485804293817252,0.0820844362079928,10.8964733418791,1.0741,0.0,474.257517921981,2.06066611570772,63445.2596,0.0
2019,800996.5316,35099.0339,32105.6014,174969.2759,116822.9051,959.4584,39284.5209,11264.1005,4835.5089,494797.9721,328904.5496,150356.7259,15536.6966,3763.9436,59988.0125,800996.5316,66676.2956,514.329,66161.9666,548471.3409,305077.2055,154128.8064,89265.329,152775.7792,19505.0,243.5,48888.3472,14400.0,69738.932,33073.1159,68116.1101,54985.7707,41322.0214,13130.3394,33277.597,15833.4077,4747.3218,,,709.7249,19005.1054,14328.4971,3009.84,-712.36,0.0,4676.6083,257.1644871,5.49894695165876,37566.9234,6974.0881,12953.2845,19927.3726,20495.7314,-2856.1806,-18736.5216,-778.5032,-831.6648,53.1616,-193.4115,,,131.1,,4931.3411,,0.0,,,,,23761.7429,43454.8906,,67204.6353,36788.4202,0.0,5.26,44.376819215496,243394.1354,548471.3409,30.3864156457478,800996.5316,16.1757563761577,68116.1101,4211.0,0.0,2.94559048885224,0.626754201238139,4676.6083,800996.5316,90.2140066768254,494797.9721,7.18806087555892,6.86564205315653,0.0850392073033541,12.0132128576141,18.1853,0.0,42.6773272918236,2.99334818549818,66676.2956,0.128849375080531
2020,915164.8161,84959.2391,12309.0412,156734.3203,121918.0739,1155.2354,20552.9143,5970.4124,5328.2022,571424.1564,399050.4897,157845.3784,14528.2883,3838.59,85425.1621,915164.8161,84947.8428,564.3356,84383.5072,640104.9373,376398.8823,173591.6234,90114.4316,147954.133,24505.0,50.0,56319.21,11619.0,55460.923,42157.903,78171.7181,62635.1574,48302.9726,15536.5607,37428.9538,17304.6243,5321.0007,,,772.9508,23438.14,21810.9246,2891.25,385.76,0.0,1627.2154,282.1677934,0.0,29613.2771,4904.2266,19424.974,24329.2006,8119.457,-2835.3805,-9767.0372,-1055.0086,-1071.9744,16.9658,-6.7,,,240.2561,,10117.9687,,0.0,,,,-288.8581,29964.2086,67204.6353,,97268.2803,28558.2685,0.0,4.86,41.1973161951113,263706.055,640104.9373,28.8151434977352,915164.8161,21.434526487524,78171.7181,3647.0,0.0,3.05371777522836,0.189634314067357,1627.2154,915164.8161,89.2703872602983,571424.1564,2.14638040772537,2.08159093793795,0.0854181855822768,10.7732555169724,5.7668,0.0,65.7730457099258,1.25990540798053,84947.8428,0.0
2021,986797.6306,51808.5592,9921.2618,226119.6213,180702.8378,1213.532,34731.201,3194.1023,4461.7661,614399.3979,413547.4164,178405.0089,22446.9726,4135.3242,80303.764,986797.6306,101603.0102,612.7497,100990.2605,697985.2901,380236.5874,204472.5279,113276.1748,142873.1597,24505.0,35.5,60222.5567,18102.0,40008.103,44336.1706,75609.8306,63346.2321,47619.8,12263.5985,34107.1103,18375.1491,6164.0139,,,948.153,23127.5712,16539.0706,2489.14,-271.79,0.0,6588.5006,306.3748652,0.0,13582.6442,8805.8457,18385.1076,27190.9533,-11814.3667,-1793.9424,-54106.797,-888.5178,-901.656,13.1382,-6.7,,,58.35,,5058.6255,,0.0,,,,,-35465.5273,97268.2803,,61729.821,12694.1264,0.0,3.54,45.5237,317748.729509254,697985.2901,32.1999891017223,986797.6306,16.2846932155934,75609.8306,4643.0,0.0,3.2407,0.6928,6588.5006,986797.6306,88.0247,614399.457654655,7.0635,8.71381478799398,0.0766214148224364,9.71228734913998,21.5047,0.0,32.4348,2.1032,101603.0102,0.0
2022,1175428.75,94034.5056,16952.6229,275597.2009,219093.1483,1758.9672,44904.8275,1361.1786,6263.4335,707946.5923,483942.7403,188428.0541,35575.7979,4363.2233,76325.478,1175428.75,115174.0572,613.9496,114411.5119,821971.5463,451965.5124,242449.2469,127556.787,185133.8631,17580.0,13.5,95064.6822,18102.0,54387.1809,53149.2834,82597.3749,67376.8296,49616.5823,15220.5453,34244.6131,23610.7543,7612.5539,,,1008.3656,24742.0075,11716.5291,4199.15,157.93,0.0,13025.4784,306.9747836,2.3567,33951.2654,17382.5547,11382.5065,28765.0612,9264.6116,-4078.4074,-27351.6341,-1337.7448,-1343.8848,6.14,-272.1627,,,88.6524,,42537.7576,,0.0,,,,,49137.3889,61729.821,,110987.1285,32613.5206,0.0,2.57,45.0145,370006.381709213,821971.5463,31.4784185523124,1175428.75,17.272558531995,82597.3749,4782.0,0.0,3.0271,1.2048,13025.4784,1175428.75,86.1279,707946.831425718,12.0256,15.7698454893631,0.0702699971393417,10.205672862239,42.4318,0.0,17.9264,2.03,115174.0572,0.1315
2023,1317325.532,66117.7565,40293.0507,288814.8338,219266.5557,1758.0038,54764.2629,1369.3476,9034.3702,845302.841,584131.4982,242748.4784,18422.8644,4597.4027,72063.1984,1317325.532,125416.6569,615.3704,124377.8747,946945.2104,500408.7402,297415.9723,149120.4979,186300.0386,23580.0,5.0,117433.27,7769.0,37512.7686,58663.6261,101307.1851,85163.7656,64553.8069,16143.4195,42218.0212,39298.5377,8760.0521,,,13094.4819,19790.6262,10210.9477,6290.88,1035.29,0.0,9579.6785,307.6852012,3.2119,26902.1103,16905.8512,20626.2156,37532.0668,-4446.084,-6183.8725,-33022.0063,-1313.6695,-1324.9946,11.3251,-406.6478,,,15.0,,1239.3318,,0.0,,,,-307.1447,-4880.5642,110987.1285,,106410.8072,25588.4408,0.0,1.98,47.1555,446536.748690172,946945.2104,33.8972211380605,1317325.532,20.4166032043531,101307.1851,4962.0,0.0,3.4619,0.7686,9579.6785,1317325.532,89.2663,845302.952351295,7.9824,9.45607015982522,0.0769036829842603,10.5035930996818,31.1347,0.0,27.5721,2.1132,125416.6569,0.1165
2024,1477208.6006,86077.4849,28376.9025,331527.2496,238394.5619,1705.4834,73853.7054,4653.25,9997.0812,965068.3843,675110.2459,273519.9385,16438.1999,5442.2295,60474.0043,1477208.6006,151061.5758,617.3141,149617.6849,1068641.392,609240.7932,302132.5802,157268.0186,196811.7504,23580.0,5.0,137149.1632,,36077.5872,60693.8824,131810.5879,109368.6327,87106.6016,22441.9552,59474.1459,35213.284,10933.1092,,,1333.7492,37123.158,12261.7248,7184.37,1014.26,0.0,24861.4332,308.6570375,1.2415,6460.6826,33060.0676,9048.9283,42108.9959,-28998.2177,-6650.0956,-9257.9685,-2286.6503,-2294.5641,7.9138,-300.8741,,,41.3788,,10760.9442,,0.0,,,,-307.9814,7963.6583,106410.8072,,114454.3874,4174.0323,0.0,1.47,42.9892,459400.385289664,1068641.392,31.0992222156755,1477208.6006,26.8836605955537,131810.5879,4903.0,0.0,3.536,1.7793,24861.4332,1477208.6006,90.308,965068.66828736,18.066,18.8614841918932,0.089229502080114,9.77885072876355,80.5471,0.0,13.0147,2.1537,151061.5758,0.0954
